,hour,quarter,mean_cases,mean_iat,t,arrival_rate
0,0,1,1.1,54.0,0,0.018518518518518517
1,0,2,1.1,54.28571428571428,0,0.01842105263157895
2,0,3,1.1,55.38461538461539,0,0.018055555555555554
3,0,4,1.0,60.0,0,0.016666666666666666
4,1,1,1.0,60.0,1,0.016666666666666666
5,1,2,1.1,53.333333333333336,1,0.01875
6,1,3,1.1,56.0,1,0.017857142857142856
7,1,4,1.1,52.5,1,0.01904761904761905
8,2,1,1.0,60.0,2,0.016666666666666666
9,2,2,1.2,49.090909090909086,2,0.020370370370370372
10,2,3,1.0,60.0,2,0.016666666666666666
11,2,4,1.2,51.81818181818181,2,0.01929824561403509
12,3,1,1.0,60.0,3,0.016666666666666666
13,3,2,1.1,55.714285714285715,3,0.017948717948717947
14,3,3,1.1,56.25,3,0.017777777777777778
15,3,4,1.1,52.5,3,0.01904761904761905
16,4,1,1.1,56.25,4,0.017777777777777778
17,4,2,1.2,50.0,4,0.02
18,4,3,1.0,60.0,4,0.016666666666666666
19,4,4,1.0,60.0,4,0.016666666666666666
20,5,1,1.0,60.0,5,0.016666666666666666
21,5,2,1.3,45.0,5,0.022222222222222223
22,5,3,1.2,51.42857142857142,5,0.019444444444444445
23,5,4,1.0,57.27272727272727,5,0.01746031746031746
24,6,1,1.4,43.333333333333336,6,0.023076923076923075
25,6,2,1.1,54.28571428571428,6,0.01842105263157895
26,6,3,1.0,60.0,6,0.016666666666666666
27,6,4,1.1,54.54545454545454,6,0.018333333333333337
28,7,1,1.1,52.5,7,0.01904761904761905
29,7,2,1.2,51.42857142857142,7,0.019444444444444445
30,7,3,1.2,48.0,7,0.020833333333333332
31,7,4,1.2,52.00000000000001,7,0.01923076923076923
32,8,1,1.2,48.0,8,0.020833333333333332
33,8,2,1.2,50.689655172413794,8,0.019727891156462583
34,8,3,1.3,47.54716981132076,8,0.02103174603174603
35,8,4,1.3,45.23076923076923,8,0.022108843537414966
36,9,1,1.4,44.347826086956516,9,0.02254901960784314
37,9,2,1.2,52.00000000000001,9,0.01923076923076923
38,9,3,1.2,48.16901408450704,9,0.020760233918128656
39,9,4,1.4,42.75,9,0.023391812865497075
40,10,1,1.4,41.76470588235294,10,0.023943661971830985
41,10,2,1.3,45.55555555555555,10,0.021951219512195124
42,10,3,1.3,45.2542372881356,10,0.022097378277153554
43,10,4,1.3,46.578947368421055,10,0.021468926553672316
44,11,1,1.4,42.85714285714286,11,0.02333333333333333
45,11,2,1.5,40.0,11,0.025
46,11,3,1.3,45.45454545454545,11,0.022000000000000002
47,11,4,1.3,44.516129032258064,11,0.02246376811594203
48,12,1,1.3,46.39175257731959,12,0.021555555555555553
49,12,2,1.5,39.45945945945946,12,0.025342465753424658
50,12,3,1.4,44.375,12,0.022535211267605635
51,12,4,1.4,43.333333333333336,12,0.023076923076923075
52,13,1,1.3,45.54216867469879,13,0.021957671957671957
53,13,2,1.3,46.73076923076923,13,0.02139917695473251
54,13,3,1.4,44.32432432432432,13,0.022560975609756097
55,13,4,1.3,46.36363636363636,13,0.021568627450980395
56,14,1,1.3,44.8421052631579,14,0.022300469483568074
57,14,2,1.2,48.0,14,0.020833333333333332
58,14,3,1.4,43.84615384615385,14,0.022807017543859647
59,14,4,1.4,41.68421052631579,14,0.02398989898989899
60,15,1,1.4,43.44827586206897,15,0.023015873015873014
61,15,2,1.3,44.666666666666664,15,0.02238805970149254
62,15,3,1.5,41.05263157894737,15,0.02435897435897436
63,15,4,1.2,48.648648648648646,15,0.020555555555555556
64,16,1,1.2,49.523809523809526,16,0.02019230769230769
65,16,2,1.3,46.10526315789473,16,0.02168949771689498
66,16,3,1.4,41.860465116279066,16,0.02388888888888889
67,16,4,1.2,48.19672131147541,16,0.02074829931972789
68,17,1,1.2,51.42857142857142,17,0.019444444444444445
69,17,2,1.6,38.4,17,0.026041666666666668
70,17,3,1.4,44.44444444444444,17,0.0225
71,17,4,1.3,45.55555555555555,17,0.021951219512195124
72,18,1,1.2,48.26086956521739,18,0.02072072072072072
73,18,2,1.2,50.625,18,0.019753086419753086
74,18,3,1.3,44.61538461538461,18,0.022413793103448276
75,18,4,1.3,47.27272727272727,18,0.021153846153846155
76,19,1,1.2,50.18181818181818,19,0.01992753623188406
77,19,2,1.2,49.523809523809526,19,0.02019230769230769
78,19,3,1.3,47.07692307692308,19,0.021241830065359475
79,19,4,1.4,44.347826086956516,19,0.02254901960784314
80,20,1,1.3,46.666666666666664,20,0.02142857142857143
81,20,2,1.2,51.724137931034484,20,0.019333333333333334
82,20,3,1.2,52.131147540983605,20,0.019182389937106917
83,20,4,1.3,46.55172413793103,20,0.021481481481481483
84,21,1,1.1,54.70588235294118,21,0.018279569892473115
85,21,2,1.2,49.285714285714285,21,0.02028985507246377
86,21,3,1.1,53.14285714285714,21,0.01881720430107527
87,21,4,1.1,52.94117647058824,21,0.01888888888888889
88,22,1,1.2,51.42857142857142,22,0.019444444444444445
89,22,2,1.2,51.21951219512195,22,0.019523809523809523
90,22,3,1.2,49.090909090909086,22,0.020370370370370372
91,22,4,1.1,54.146341463414636,22,0.018468468468468467
92,23,1,1.1,55.5,23,0.018018018018018018
93,23,2,1.1,53.57142857142857,23,0.018666666666666668
94,23,3,1.2,51.1764705882353,23,0.01954022988505747
95,23,4,1.0,57.99999999999999,23,0.01724137931034483
