ampds_card,callsign_group,count,proportion
06,70,115,0.6886
06,71,26,0.1557
06,72,26,0.1557
09,70,717,0.6764
09,71,182,0.1717
09,72,161,0.1519
10,70,52,0.4771
10,71,44,0.4037
10,72,13,0.1193
12,70,194,0.6532
12,71,40,0.1347
12,72,63,0.2121
17,70,363,0.6226
17,71,119,0.2041
17,72,101,0.1732
23,70,65,0.6771
23,71,16,0.1667
23,72,15,0.1562
25,70,51,0.75
25,71,8,0.1176
25,72,9,0.1324
27,70,132,0.8354
27,71,12,0.0759
27,72,14,0.0886
29,70,420,0.6677
29,71,116,0.1844
29,72,93,0.1479
30,70,223,0.6027
30,71,73,0.1973
30,72,74,0.2
31,70,161,0.6122
31,71,53,0.2015
31,72,49,0.1863
Other,70,394,0.6314
Other,71,125,0.2003
Other,72,105,0.1683
