,callsign_group,quarter,vehicle_type,count,proportion
0,70,1,car,200,0.3431
1,70,1,helicopter,383,0.6569
2,70,2,car,121,0.1681
3,70,2,helicopter,599,0.8319
4,70,3,car,170,0.2329
5,70,3,helicopter,560,0.7671
6,70,4,car,252,0.3962
7,70,4,helicopter,384,0.6038
8,71,1,car,43,0.2829
9,71,1,helicopter,109,0.7171
10,71,2,car,53,0.269
11,71,2,helicopter,144,0.731
12,71,3,car,45,0.1883
13,71,3,helicopter,194,0.8117
14,71,4,car,67,0.4241
15,71,4,helicopter,91,0.5759
16,72,1,car,165,1.0
17,72,2,car,179,1.0
18,72,3,car,158,1.0
19,72,4,car,144,1.0
