month,stand_down_car,stand_down_helicopter,total_jobs
2023-01-01,13,24,174
2023-02-01,23,22,178
2023-03-01,33,24,184
2023-04-01,22,31,212
2023-05-01,15,39,201
2023-06-01,12,45,206
2023-07-01,17,48,222
2023-08-01,24,41,226
2023-09-01,26,46,224
2023-10-01,16,39,204
2023-11-01,15,22,154
2023-12-01,36,24,175
2024-01-01,16,33,197
2024-02-01,27,24,182
2024-03-01,25,28,227
2024-04-01,25,34,191
2024-05-01,18,57,240
2024-06-01,19,37,245
2024-07-01,25,32,240
2024-08-01,28,35,232
2024-09-01,21,28,166
2024-10-01,36,24,222
2024-11-01,25,24,183
2024-12-01,26,23,180
