month,median_car_time_allocation,median_helicopter_time_allocation,median_car_time_mobile,median_helicopter_time_mobile,median_car_time_on_scene,median_helicopter_time_on_scene,median_car_time_to_clear,median_helicopter_time_to_clear,median_car_time_to_hospital,median_helicopter_time_to_hospital,median_car_time_to_scene,median_helicopter_time_to_scene,median_car_total_job_time,median_helicopter_total_job_time
2023-01-01,7.0,7.0,3.0,5.0,31.0,26.5,37.0,29.5,18.5,28.5,24.5,16.0,115.5,135.0
2023-02-01,5.0,8.5,2.0,6.0,36.5,24.0,23.5,26.0,15.5,30.0,13.0,20.0,81.5,128.0
2023-03-01,8.5,12.0,2.0,5.5,36.0,29.0,32.0,24.0,21.0,35.0,21.0,22.0,130.5,135.0
2023-04-01,8.5,11.0,1.0,5.0,23.0,27.0,20.0,31.0,15.0,30.0,13.0,21.0,111.0,136.0
2023-05-01,11.5,14.5,2.5,5.0,37.5,28.0,31.0,30.0,14.0,30.0,13.5,19.0,119.5,141.0
2023-06-01,17.5,11.0,3.0,5.0,33.5,26.0,14.5,32.0,14.5,31.5,14.5,21.5,112.0,144.0
2023-07-01,14.5,18.0,4.0,5.0,31.0,26.0,26.0,30.0,13.0,30.0,15.0,20.0,121.0,132.0
2023-08-01,12.0,10.0,2.0,5.0,29.0,23.5,25.0,22.0,16.0,32.0,16.0,19.0,115.0,127.5
2023-09-01,8.0,11.0,3.0,5.0,20.0,28.0,26.0,21.0,21.0,33.0,17.0,20.0,108.0,139.0
2023-10-01,7.0,8.0,2.0,6.0,16.0,26.5,30.0,25.0,15.0,30.0,15.0,19.0,88.0,130.0
2023-11-01,10.0,12.0,3.0,4.5,17.0,30.0,35.0,25.0,14.0,30.0,17.0,24.0,95.0,131.0
2023-12-01,8.5,10.0,2.0,5.5,31.0,33.0,26.0,27.0,20.0,22.0,26.0,20.0,123.0,131.0
2024-01-01,8.0,10.0,2.0,5.0,26.0,31.0,30.0,26.0,15.0,25.0,13.0,16.0,100.0,137.5
2024-02-01,8.5,20.0,2.0,6.5,22.0,24.0,31.0,26.0,11.5,30.0,15.0,22.0,99.5,147.0
2024-03-01,12.5,10.0,2.5,5.0,19.0,27.0,30.0,22.5,25.0,28.5,18.0,16.5,133.0,122.0
2024-04-01,7.0,7.0,2.5,5.0,25.5,31.0,22.0,30.0,21.0,27.0,20.0,18.5,105.5,127.5
2024-05-01,16.5,7.0,3.0,6.0,26.0,22.0,28.5,21.0,15.5,27.0,18.0,21.0,101.0,128.5
2024-06-01,6.0,13.0,2.0,5.0,30.0,25.0,27.0,30.0,22.0,30.0,20.0,21.0,114.0,133.0
2024-07-01,6.0,10.0,3.5,5.5,19.0,30.0,20.0,26.0,17.0,29.0,17.0,20.0,102.0,129.0
2024-08-01,12.0,11.0,3.0,5.0,37.0,30.0,26.0,24.0,24.5,33.0,15.5,22.0,131.0,133.0
2024-09-01,8.5,9.0,2.0,5.0,22.0,30.0,25.0,34.0,15.0,30.0,19.0,22.0,143.0,135.0
2024-10-01,7.0,9.0,3.0,6.0,26.0,24.5,30.0,26.0,19.0,34.5,15.0,21.0,128.0,140.0
2024-11-01,9.0,10.5,3.0,6.0,24.0,30.0,22.5,20.0,17.0,35.0,20.0,15.0,107.0,121.0
2024-12-01,9.0,9.5,2.5,8.0,20.0,23.5,22.0,29.0,20.5,37.5,17.0,17.5,105.5,144.5
