month,CC70,CC71,CC72,H70,H71
2023-01-01,27.0,4.0,27.0,68.0,29.0
2023-02-01,32.0,12.0,44.0,66.0,13.0
2023-03-01,50.0,20.0,28.0,65.0,0.0
2023-04-01,24.0,16.0,37.0,89.0,15.0
2023-05-01,15.0,15.0,35.0,103.0,19.0
2023-06-01,12.0,1.0,21.0,108.0,47.0
2023-07-01,35.0,5.0,21.0,100.0,42.0
2023-08-01,34.0,10.0,19.0,103.0,44.0
2023-09-01,40.0,9.0,27.0,104.0,35.0
2023-10-01,33.0,4.0,13.0,89.0,45.0
2023-11-01,29.0,5.0,14.0,62.0,11.0
2023-12-01,49.0,19.0,20.0,58.0,4.0
2024-01-01,41.0,5.0,28.0,78.0,35.0
2024-02-01,61.0,11.0,32.0,52.0,6.0
2024-03-01,52.0,5.0,40.0,74.0,36.0
2024-04-01,43.0,16.0,29.0,83.0,11.0
2024-05-01,36.0,5.0,33.0,110.0,35.0
2024-06-01,23.0,11.0,47.0,115.0,22.0
2024-07-01,39.0,4.0,44.0,91.0,36.0
2024-08-01,27.0,4.0,43.0,104.0,42.0
2024-09-01,31.0,21.0,20.0,76.0,2.0
2024-10-01,53.0,18.0,41.0,85.0,0.0
2024-11-01,60.0,13.0,29.0,51.0,17.0
2024-12-01,51.0,16.0,28.0,52.0,16.0
